Car Model,Battery Level (%),Distance to Nearest Charging Station (miles),Passenger Capacity,Price ($)
Nissan SunGlide72,45,1.2,8,114378
Hyundai SolarFlare56,66,4.6,5,55041
Kia SunMotion35,31,11.2,3,83484
Nissan Solaris18,84,3.4,8,103947
Tesla SunGlide4,83,7.7,8,86762
Toyota Solaris33,70,10.5,6,40830
Honda SunVolt16,79,10.3,5,83119
Chevrolet SolarGuide66,66,1.9,7,80233
Audi SolarGuide11,84,4.5,2,94427
Nissan SolarPilot71,39,10.4,8,89658
Nissan SunVolt72,18,12.5,9,45607
Tesla SolarGuide31,46,1.2,2,41198
Toyota SolarRide99,15,10.3,7,68263
Toyota SolarPilot50,35,1.2,5,73330
BMW SunMotion24,86,7.7,4,43624
Audi SolarDrive27,19,7.1,3,52880
Nissan SunGlide8,16,5.1,7,86286
BMW SunVolt87,47,3.8,4,56811
Nissan SunGlide49,45,2.5,3,50922
Chevrolet Model D35,81,4.1,6,116679
Kia SolarDrive56,33,2.1,4,69356
Audi SolarWave21,74,9.6,4,110413
Chevrolet SolarPilot80,59,4.9,2,96373
Toyota SolarGuide12,21,6.7,8,100454
BMW Solaris71,59,5.1,4,53109
Honda SunGlide82,41,2.6,2,45788
Audi SunGlide87,33,5.7,4,109165
BMW SolarPilot47,79,7.5,2,111379
Tesla SunGlide31,51,1.5,6,56220
Tesla SunFlare53,38,13.7,4,84614
Kia SolarWave61,88,6.8,7,60753
Ford Model D70,20,7.4,7,76497
Tesla SolarMotion66,10,5.1,8,43733
Nissan Model M98,83,1.4,4,86271
Nissan SunVolt4,58,5.9,6,50357
Chevrolet Model D94,40,2.7,2,56477
Ford SolarGuide43,62,11.9,7,60725
Chevrolet SunGlide73,27,3.4,9,67991
BMW SolarPilot0,48,12.6,8,74905
VW SolarDrive67,42,10.7,9,101194
VW SolarMotion85,45,7.5,8,116433
Toyota SunDrive6,63,13.7,8,83214
BMW SunDrive52,55,13.8,5,101053
Kia SolarMotion4,83,6.3,3,75141
Toyota SunVolt46,47,5.8,4,46062
VW Model D19,22,11.4,4,58554
Hyundai SunVolt14,50,13.4,8,63606
Ford SunCruise4,12,12.9,8,53401
BMW SunVolt21,20,11.4,6,102155
Audi SolarFlare85,23,9.1,7,114384
Toyota SunMotion11,84,7.5,6,55986
VW Model M16,57,10.5,5,79436
Audi SunVolt71,14,13.2,5,67864
Chevrolet SunDrive6,25,8.4,2,76896
Kia SunVolt10,90,6.5,5,53258
Toyota SolarGuide51,49,9.9,9,96978
Nissan SunVolt42,87,5.2,4,77825
VW SunDrive20,45,4.6,4,70149
Tesla SolarDrive77,23,0.9,7,74406
BMW SolarPilot52,68,13.3,7,110611
Toyota SunGlide78,84,8.4,4,62667
Nissan SunVolt58,81,3,6,61707
VW Solaris90,26,4.8,2,42678
Honda SolarGuide63,50,15.1,8,93489
Kia Solaris88,88,13,5,118070
VW Solaris88,84,4.8,9,52297
Chevrolet SunDrive22,31,11.5,4,96147
Ford SolarPilot19,83,5,2,90658
Toyota SunDrive9,18,3.9,3,43154
Hyundai SunVolt60,21,11.9,6,79785
Audi Model D72,14,14.2,6,98487
BMW SolarFlare43,72,8.5,7,113121
Nissan SolarPilot13,37,9.3,5,43315
Ford SolarPilot88,32,1.3,7,111897
Honda SunGlide84,16,12.5,2,83524
Kia SunGlide78,70,12,2,101619
Tesla SolarFlare22,90,1.7,4,90997
Ford SunRide34,42,2,3,85815
Chevrolet SunMotion4,52,4.9,4,89946
BMW SolarMotion16,49,5.4,2,62379
Nissan SunDrive77,60,4.3,2,110181
Ford SunGlide51,80,3.9,7,91673
Chevrolet SunMotion22,62,4,3,105594
VW Model M14,18,9.5,6,44467
Chevrolet SolarDrive73,82,5.3,3,112593
Tesla SunVolt36,40,15.1,4,64860
Kia SolarMotion91,60,14.6,4,56456
Kia SunRide46,46,3.7,5,47682
Ford SolarFlare50,13,10.1,5,114241
Nissan SolarFlare37,64,2.1,2,58744
Nissan SunVolt97,57,12.7,2,95349
Ford SolarGuide49,47,7.7,5,49894
Audi SunGlide85,48,10.8,8,114543
Kia Solaris38,43,14.8,7,74712
Tesla SunGlide76,36,8,2,103417
Chevrolet SolarBreeze9,62,4.6,8,111047
Nissan SunGlide69,21,8.2,2,70847
VW SunGlide64,79,3.7,9,42285
Toyota SolarFlare19,82,12.5,6,87568
Kia SunGlide49,40,9,9,56517
Chevrolet SunMotion90,87,3.3,5,56288
Honda Solaris36,65,7.8,5,57239
VW Model D26,24,14,5,108338
Kia SolarFlare86,42,6.8,7,77503
Toyota Solaris48,56,7.3,8,93672
Nissan SolarPilot51,56,10.8,7,46924
Audi SunDrive27,48,11,6,47972
Tesla SunCruise22,28,3.7,6,46334
Toyota Solaris44,16,5.6,5,53595
Hyundai SolarRide93,50,8.1,5,55863
Kia Model D30,84,6.7,5,111390
Nissan SunGlide98,21,10.2,8,79336
Ford Solaris100,59,0.5,3,107429
Hyundai SunVolt15,15,10.1,7,44754
BMW SunVolt59,72,14.9,8,73523
Hyundai SolarGuide9,51,4.8,2,55257
Audi SolarRide72,87,14.3,6,108457
Honda SolarMotion33,74,7.1,3,65782
Ford Solaris68,70,1.2,6,52163
Tesla Solaris45,83,13.2,6,111496
VW SunVolt85,54,12.6,7,56688
Toyota SolarMotion51,33,9,7,53401
Tesla SunVolt36,42,4.5,5,85018
Tesla SolarPilot90,29,2.5,4,115592
Tesla SolarGuide53,54,2,4,103753
BMW SunVolt92,14,12.2,2,116711
Audi Model M17,55,9,6,96037
Chevrolet SolarFlare7,34,12.5,9,97842
Hyundai SunVolt90,46,14,9,95428
Honda SolarGuide57,30,14.7,2,47052
Nissan SolarDrive91,84,7.4,4,48327
BMW Model M60,79,5.3,9,63255
Toyota SolarGuide30,82,15.2,5,109873
Nissan SunMotion58,68,3.5,4,67603
BMW SunMotion71,67,4.2,8,72950
Honda SolarMotion53,46,4.2,3,99946
Hyundai SolarFlare77,62,5.7,5,83405
Chevrolet SunGlide48,65,10.4,7,109088
Audi SolarFlare17,11,3.4,5,57327
Chevrolet SolarGuide10,56,2.9,5,95850
Nissan SunVolt35,10,13.6,3,97739
BMW SolarFlare83,23,2.5,4,43617
Audi SolarGuide55,15,1.3,9,61940
Chevrolet SunVolt51,53,10.3,2,76415
Kia SolarBreeze75,56,4.5,2,96050
Kia SolarWave63,50,10.6,7,113722
Honda SolarGuide70,63,11.6,9,113141
Ford SolarBreeze69,81,12.6,8,90011
Tesla SunCruise54,81,9.6,2,46064
Honda SolarBreeze13,60,4.1,7,105719
Toyota SunVolt26,59,12.2,9,58499
Toyota SolarMotion60,35,15.1,5,93637
Audi SolarRide47,28,9.2,5,83249
Toyota SolarWave40,18,12.3,9,103379
Honda SunDrive19,40,9.4,5,55037
Hyundai Solaris22,73,5.8,8,95933
Honda Solaris100,56,7,2,113528
Hyundai SolarFlare12,63,7.5,5,99354
BMW SunDrive46,25,4.5,6,84524
Chevrolet Model M65,49,7.1,8,70464
BMW SolarWave85,62,13.7,8,104774
Kia SunGlide38,20,14.7,3,53302
Hyundai SunGlide37,65,4.3,7,40178
Kia SolarDrive46,38,13.6,8,100084
VW SunRide55,61,4.5,7,61835
Tesla SolarWave30,20,5.9,5,118591
Audi Model M7,64,13.7,9,79323
Hyundai SolarFlare64,65,1.5,5,96897
Hyundai SunGlide41,14,13.9,8,84612
Toyota Solaris67,27,7,6,71251
Honda SolarFlare9,15,9,8,89853
Toyota SunDrive86,16,13.8,6,85769
Ford SolarRide59,22,12.8,4,81020
Toyota SolarBreeze17,58,13,9,87216
BMW SolarRide5,60,11.5,5,80116
Chevrolet SolarPilot96,25,10,3,55080
Nissan SolarGuide70,62,12.9,3,102519
Toyota SunVolt88,41,11,4,87367
Hyundai SunGlide95,84,6.8,9,109069
Toyota SolarGuide76,80,4.2,2,60007
Chevrolet Model D19,11,11.8,8,71989
Hyundai SolarWave51,10,5.5,6,108814
Kia SunVolt62,85,6,6,74356
Kia SolarPilot52,58,6.8,6,57535
Kia SunVolt58,82,12.5,6,71084
Honda SolarGuide99,55,3.9,4,103376
Hyundai SunVolt41,12,2.5,4,55682
Honda SolarBreeze15,22,5.1,5,57263
Nissan SunGlide61,81,2.4,9,45674
Chevrolet SolarGuide16,60,1.2,3,96500
Tesla SunMotion16,65,12,5,51269
VW SunVolt8,24,1.9,5,43638
Honda SunVolt80,90,13.4,7,67323
Chevrolet SolarFlare100,85,3.1,6,82559
Hyundai SolarPilot50,52,14.4,5,103778
Honda SunVolt75,59,9,2,105059
Honda SolarDrive18,55,0.6,4,50377
VW SolarGuide70,59,8.9,4,65892
BMW SunGlide73,61,7.7,2,105439
Audi SolarPilot42,23,4.9,6,118489
Ford SunDrive67,16,0.7,8,68259
BMW SunDrive72,58,1.6,6,101029
Honda SolarFlare1,30,13,5,101976
Ford SunGlide70,36,9.5,5,95206
Kia SunCruise63,33,6.9,7,110337
Ford SolarFlare78,30,5.9,7,51726
Kia SolarDrive70,10,14.9,2,68960
Toyota Model D59,76,2.3,7,95012
Kia SunCruise70,71,14.1,7,72952
Nissan SolarFlare10,72,1.5,9,41861
Ford SunVolt43,17,3.9,7,69590
Audi SunFlare72,34,9,5,98015
Kia SunVolt61,71,7.3,5,107561
Toyota SunGlide6,71,8.3,7,66234
Hyundai SolarBreeze83,57,1.4,2,98930
VW Model D25,30,1.1,3,92512
Ford SunGlide2,78,13.5,2,40145
VW SunVolt99,71,13.1,5,105982
Kia SunGlide97,38,14.2,8,115558
VW SunGlide59,80,2,2,62823
BMW SunDrive8,38,4.4,5,112472
Chevrolet Solaris94,20,10.3,4,63247
Toyota SolarBreeze79,24,2.2,8,104776
BMW SunFlare62,90,4.1,9,44490
Kia Model D41,80,10.3,9,61118
Toyota SolarDrive65,11,7.7,2,98889
Nissan SolarPilot75,80,14.1,7,86371
Kia SolarFlare43,31,7.5,4,114118
Ford SunDrive75,41,7.6,6,113545
Kia SunDrive84,84,0.7,7,75378
Nissan SolarGuide89,71,5.1,4,57118
Toyota SolarPilot59,54,6.2,8,100955
Hyundai SolarRide38,87,8.1,7,86394
Nissan Solaris38,24,13.6,2,91023
VW SolarGuide72,11,10.9,3,109449
VW Solaris42,20,2.9,5,100761
Nissan SunVolt75,68,13,3,57014
Nissan SolarFlare29,19,9.4,5,65653
Hyundai SolarFlare24,23,14.7,7,106371
Audi SolarPilot53,36,13.8,7,103973
Chevrolet SunCruise3,40,5.2,9,92805
BMW SunDrive24,47,9.1,8,84150
Nissan Model D17,81,3.2,6,54379
Chevrolet SunDrive0,74,15.1,6,108597
BMW SunGlide20,33,5.6,5,88810
Ford SunDrive59,11,9.8,4,97466
Audi Model D10,36,11,7,64412
Toyota SolarGuide2,67,11.7,7,55657
Nissan SolarBreeze66,35,7.7,9,54562
Hyundai SunVolt18,56,12,6,41466
Chevrolet SunVolt22,50,14,6,60558
Nissan SunCruise73,40,4.3,5,89992
Nissan Model D69,35,3.2,9,69408
Ford SolarMotion20,83,1.8,9,41375
VW SunMotion97,37,13.8,2,61226
Kia Solaris5,46,9.9,7,43951
BMW SunDrive60,48,14.7,9,50500
Ford SunVolt35,24,4.6,5,47465
Chevrolet SolarPilot82,10,2.7,5,90992
Ford SolarFlare45,88,6.7,8,83469
Toyota SolarWave25,25,11.9,4,113338
Nissan SolarGuide25,43,15.1,9,71124
Kia SolarPilot32,45,0.6,8,88470
Ford SolarGuide68,78,14.8,9,79026
Tesla SolarFlare50,20,10.5,7,63765
Toyota SunDrive91,49,13.8,2,44723
Tesla SolarGuide91,15,6.1,8,59922
BMW Model D70,47,5.4,2,62710
Ford SunMotion12,44,9.6,5,117875
BMW SolarGuide78,73,11,2,110642
BMW SolarRide66,14,14.5,2,112840
Chevrolet SunGlide15,34,15.4,4,50908
BMW SolarGuide99,15,13.2,2,87062
Audi SolarWave72,90,10.4,2,101023
Ford SolarFlare30,61,6.9,3,40457
BMW SunDrive86,72,14,7,114120
BMW SunFlare8,51,5.8,2,86720
Audi SolarGuide22,80,14.3,4,94516
VW SunGlide56,34,7.9,2,69143
Tesla Model M98,13,15,3,73069
Kia SolarFlare14,46,13.9,8,65094
Chevrolet SolarFlare76,21,4,6,95586
Chevrolet SolarPilot70,16,15.1,4,67714
VW SunVolt20,35,6.2,2,80291
Nissan Solaris68,42,9.8,9,56347
Tesla SunDrive88,24,2.3,4,103167
Chevrolet SolarBreeze42,21,14,5,89827
Nissan SunMotion77,27,1.8,4,73214
Tesla SolarGuide35,26,14.3,9,46091
Audi SunFlare28,28,9.7,3,97866
Toyota SolarDrive85,76,14.3,5,105743
Hyundai SolarPilot94,25,2.1,8,60084
Hyundai SolarDrive9,67,10.8,7,101134
Kia SunGlide36,50,13.6,3,105113
Kia SolarPilot13,75,9.7,8,81663
Hyundai Model D44,82,12.3,4,112453
Hyundai SolarGuide90,58,15,6,117149
Honda SolarBreeze17,70,8.1,8,112004
Hyundai SunRide59,22,14.3,8,91954
BMW SolarFlare43,20,6.2,4,57071
